"accession","version","entryVersion","dataClass","taxonomicDivision","moleculeType","sequenceLength","topology","firstPublic","firstPublicRelease","lastUpdated","lastUpdatedRelease","Row.names","taxID","superkingdom","phylum","class","order","family","genus","species"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"LC053450","1","1","STD","INV","genomic DNA","448","linear","2015-05-12","124","2015-05-12","124","759",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"JF459994","1","1","STD","INV","genomic DNA","663","linear","2011-04-19","108","2011-04-19","108","1025",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KF322145","1","2","STD","INV","genomic DNA","532","linear","2013-11-03","118","2014-07-18","121","926",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KX880502","1","1","STD","INV","genomic DNA","891","linear","2017-02-06","131","2017-02-06","131","489",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KX880504","1","1","STD","INV","genomic DNA","891","linear","2017-02-06","131","2017-02-06","131","487",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KX880503","1","1","STD","INV","genomic DNA","891","linear","2017-02-06","131","2017-02-06","131","488",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KX880505","1","1","STD","INV","genomic DNA","891","linear","2017-02-06","131","2017-02-06","131","486",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KX880506","1","1","STD","INV","genomic DNA","891","linear","2017-02-06","131","2017-02-06","131","485",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT736298","1","2","STD","INV","genomic DNA","891","linear","2016-03-02","128","2016-03-08","128","621",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KC886731","1","2","STD","INV","genomic DNA","589","linear","2013-05-20","116","2014-07-18","121","933",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KC886733","1","2","STD","INV","genomic DNA","599","linear","2013-05-20","116","2014-07-18","121","931",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KC886729","1","2","STD","INV","genomic DNA","516","linear","2013-05-20","116","2014-07-18","121","935",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KC886730","1","2","STD","INV","genomic DNA","583","linear","2013-05-20","116","2014-07-18","121","934",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KC886732","1","2","STD","INV","genomic DNA","589","linear","2013-05-20","116","2014-07-18","121","932",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KC886721","1","2","STD","INV","genomic DNA","597","linear","2013-05-20","116","2014-07-18","121","943",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215368","1","1","STD","INV","genomic DNA","581","linear","2015-12-08","127","2015-12-08","127","654",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215369","1","1","STD","INV","genomic DNA","602","linear","2015-12-08","127","2015-12-08","127","653",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215354","1","1","STD","INV","genomic DNA","593","linear","2015-12-08","127","2015-12-08","127","668",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215355","1","1","STD","INV","genomic DNA","593","linear","2015-12-08","127","2015-12-08","127","667",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215356","1","1","STD","INV","genomic DNA","561","linear","2015-12-08","127","2015-12-08","127","666",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215358","1","1","STD","INV","genomic DNA","561","linear","2015-12-08","127","2015-12-08","127","664",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215360","1","1","STD","INV","genomic DNA","602","linear","2015-12-08","127","2015-12-08","127","662",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215359","1","1","STD","INV","genomic DNA","584","linear","2015-12-08","127","2015-12-08","127","663",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215363","1","1","STD","INV","genomic DNA","596","linear","2015-12-08","127","2015-12-08","127","659",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215364","1","1","STD","INV","genomic DNA","579","linear","2015-12-08","127","2015-12-08","127","658",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215367","1","1","STD","INV","genomic DNA","589","linear","2015-12-08","127","2015-12-08","127","655",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215353","1","1","STD","INV","genomic DNA","586","linear","2015-12-08","127","2015-12-08","127","669",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215357","1","1","STD","INV","genomic DNA","573","linear","2015-12-08","127","2015-12-08","127","665",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215361","1","1","STD","INV","genomic DNA","618","linear","2015-12-08","127","2015-12-08","127","661",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215362","1","1","STD","INV","genomic DNA","624","linear","2015-12-08","127","2015-12-08","127","660",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215365","1","1","STD","INV","genomic DNA","594","linear","2015-12-08","127","2015-12-08","127","657",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215366","1","1","STD","INV","genomic DNA","592","linear","2015-12-08","127","2015-12-08","127","656",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215370","1","1","STD","INV","genomic DNA","610","linear","2015-12-08","127","2015-12-08","127","652",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KT215371","1","1","STD","INV","genomic DNA","589","linear","2015-12-08","127","2015-12-08","127","651",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH615006","1","1","STD","INV","genomic DNA","7500","linear","2019-03-07","140","2019-03-07","140","213",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KY940658","1","2","STD","INV","genomic DNA","428","linear","2018-04-03","136","2018-04-03","136","348",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"GQ176285","1","1","STD","INV","genomic DNA","591","linear","2009-06-28","101","2009-06-28","101","1034",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH557086","1","1","STD","INV","genomic DNA","31869","linear","2018-12-19","139","2018-12-19","139","248",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MG077087","1","4","STD","INV","genomic DNA","639","linear","2018-11-09","138","2018-12-07","139","317",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MG077085","1","3","STD","INV","genomic DNA","667","linear","2018-11-16","138","2018-12-07","139","319",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MG077084","1","2","STD","INV","genomic DNA","621","linear","2018-12-07","139","2018-12-13","139","320",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MG077086","1","4","STD","INV","genomic DNA","621","linear","2018-11-09","138","2018-12-07","139","318",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KY021177","1","1","STD","INV","genomic DNA","666","linear","2017-10-05","134","2017-10-05","134","417",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KY021180","1","1","STD","INV","genomic DNA","575","linear","2017-10-05","134","2017-10-05","134","414",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KY021181","1","1","STD","INV","genomic DNA","614","linear","2017-10-05","134","2017-10-05","134","413",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KY021182","1","1","STD","INV","genomic DNA","532","linear","2017-10-05","134","2017-10-05","134","412",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KY021183","1","1","STD","INV","genomic DNA","612","linear","2017-10-05","134","2017-10-05","134","411",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KY021178","1","1","STD","INV","genomic DNA","666","linear","2017-10-05","134","2017-10-05","134","416",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KY021179","1","1","STD","INV","genomic DNA","604","linear","2017-10-05","134","2017-10-05","134","415",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KY021176","1","1","STD","INV","genomic DNA","596","linear","2017-10-05","134","2017-10-05","134","418",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KY021184","1","1","STD","INV","genomic DNA","606","linear","2017-10-05","134","2017-10-05","134","410",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH615003","1","1","STD","INV","genomic DNA","976","linear","2019-03-07","140","2019-03-07","140","216",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH615004","1","1","STD","INV","genomic DNA","948","linear","2019-03-07","140","2019-03-07","140","215",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH615004","1","1","STD","INV","genomic DNA","948","linear","2019-03-07","140","2019-03-07","140","215",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MK091089","1","1","STD","INV","genomic DNA","1818","linear","2019-02-28","140","2019-02-28","140","220",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH615005","1","1","STD","INV","genomic DNA","215","linear","2019-03-07","140","2019-03-07","140","214",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH615005","1","1","STD","INV","genomic DNA","215","linear","2019-03-07","140","2019-03-07","140","214",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH615004","1","1","STD","INV","genomic DNA","948","linear","2019-03-07","140","2019-03-07","140","215",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH615005","1","1","STD","INV","genomic DNA","215","linear","2019-03-07","140","2019-03-07","140","214",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MK091088","1","1","STD","INV","genomic DNA","1816","linear","2019-02-28","140","2019-02-28","140","221",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MK091090","1","1","STD","INV","genomic DNA","1818","linear","2019-02-28","140","2019-02-28","140","219",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MK091091","1","1","STD","INV","genomic DNA","1874","linear","2019-02-28","140","2019-02-28","140","218",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MK091092","1","1","STD","INV","genomic DNA","1874","linear","2019-02-28","140","2019-02-28","140","217",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MK091085","1","1","STD","INV","genomic DNA","1816","linear","2019-02-28","140","2019-02-28","140","224",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MK091086","1","1","STD","INV","genomic DNA","1816","linear","2019-02-28","140","2019-02-28","140","223",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MK091087","1","1","STD","INV","genomic DNA","1816","linear","2019-02-28","140","2019-02-28","140","222",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MK091084","1","1","STD","INV","genomic DNA","1816","linear","2019-02-28","140","2019-02-28","140","225",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH615003","1","1","STD","INV","genomic DNA","976","linear","2019-03-07","140","2019-03-07","140","216",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH615003","1","1","STD","INV","genomic DNA","976","linear","2019-03-07","140","2019-03-07","140","216",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MG062866","1","2","STD","INV","genomic DNA","1413","linear","2017-12-05","135","2017-12-05","135","386",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MG076961","1","2","STD","INV","genomic DNA","303","linear","2017-12-05","135","2017-12-05","135","385",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MN791088","1","1","STD","INV","genomic DNA","704","linear","2019-12-16","143","2019-12-16","143","9",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MN791089","1","1","STD","INV","genomic DNA","704","linear","2019-12-16","143","2019-12-16","143","8",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MN103412","1","1","STD","INV","genomic DNA","664","linear","2019-07-04","141","2019-07-04","141","76",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MG772658","1","1","STD","INV","genomic DNA","515","linear","2018-11-09","138","2018-11-09","138","301",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KF724626","1","1","STD","INV","genomic DNA","624","linear","2017-10-04","134","2017-10-04","134","419",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KP182929","1","1","STD","INV","genomic DNA","600","linear","2015-02-10","123","2015-02-10","123","880",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KP182932","1","1","STD","INV","genomic DNA","633","linear","2015-02-10","123","2015-02-10","123","877",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KP182931","1","1","STD","INV","genomic DNA","593","linear","2015-02-10","123","2015-02-10","123","878",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KP182933","1","1","STD","INV","genomic DNA","629","linear","2015-02-10","123","2015-02-10","123","876",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KP182930","1","1","STD","INV","genomic DNA","625","linear","2015-02-10","123","2015-02-10","123","879",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KP182934","1","1","STD","INV","genomic DNA","638","linear","2015-02-10","123","2015-02-10","123","875",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KF322143","1","2","STD","INV","genomic DNA","601","linear","2013-11-03","118","2014-07-18","121","928",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KF322142","1","2","STD","INV","genomic DNA","596","linear","2013-11-03","118","2014-07-18","121","929",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KF322144","1","2","STD","INV","genomic DNA","547","linear","2013-11-03","118","2014-07-18","121","927",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KF322141","1","2","STD","INV","genomic DNA","540","linear","2013-11-03","118","2014-07-18","121","930",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MG496273","1","3","STD","INV","genomic DNA","534","linear","2017-12-01","135","2017-12-01","135","388",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"EU571737","1","1","STD","INV","genomic DNA","625","linear","2008-04-09","95","2008-04-09","95","1095",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH615006","1","1","STD","INV","genomic DNA","7500","linear","2019-03-07","140","2019-03-07","140","213",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"MH615006","1","1","STD","INV","genomic DNA","7500","linear","2019-03-07","140","2019-03-07","140","213",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KJ634654","1","2","STD","INV","genomic DNA","1545","linear","2014-05-12","120","2014-07-18","121","925",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"KJ572975","1","2","STD","INV","genomic DNA","684","linear","2014-05-16","120","2014-07-18","121","924",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
