"","accession","version","entryVersion","dataClass","taxonomicDivision","moleculeType","sequenceLength","topology","firstPublic","firstPublicRelease","lastUpdated","lastUpdatedRelease","Row.names","taxID","superkingdom","phylum","class","order","family","genus","species"
"48","KP182932","1","1","STD","INV","genomic DNA","633","linear","2015-02-10","123","2015-02-10","123","877",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"49","KP182931","1","1","STD","INV","genomic DNA","593","linear","2015-02-10","123","2015-02-10","123","878",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"50","KP182933","1","1","STD","INV","genomic DNA","629","linear","2015-02-10","123","2015-02-10","123","876",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"51","KP182930","1","1","STD","INV","genomic DNA","625","linear","2015-02-10","123","2015-02-10","123","879",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"52","KP182934","1","1","STD","INV","genomic DNA","638","linear","2015-02-10","123","2015-02-10","123","875",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"53","KF322143","1","2","STD","INV","genomic DNA","601","linear","2013-11-03","118","2014-07-18","121","928",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"54","KF322142","1","2","STD","INV","genomic DNA","596","linear","2013-11-03","118","2014-07-18","121","929",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"55","KF322144","1","2","STD","INV","genomic DNA","547","linear","2013-11-03","118","2014-07-18","121","927",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"56","KF322141","1","2","STD","INV","genomic DNA","540","linear","2013-11-03","118","2014-07-18","121","930",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"57","MG496273","1","3","STD","INV","genomic DNA","534","linear","2017-12-01","135","2017-12-01","135","388",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"58","EU571737","1","1","STD","INV","genomic DNA","625","linear","2008-04-09","95","2008-04-09","95","1095",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"59","KJ572976","1","2","STD","INV","genomic DNA","668","linear","2014-05-16","120","2014-07-18","121","923",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"60","DQ111751","1","2","STD","INV","genomic DNA","661","linear","2005-07-28","84","2005-11-10","85","1128",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"61","DQ111752","1","2","STD","INV","genomic DNA","635","linear","2005-07-28","84","2005-11-10","85","1127",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"62","DQ111753","1","2","STD","INV","genomic DNA","635","linear","2005-07-28","84","2005-11-10","85","1126",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"63","DQ111755","1","2","STD","INV","genomic DNA","661","linear","2005-07-28","84","2005-11-10","85","1124",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"64","DQ111756","1","2","STD","INV","genomic DNA","630","linear","2005-07-28","84","2005-11-10","85","1123",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"65","DQ111759","1","2","STD","INV","genomic DNA","634","linear","2005-07-28","84","2005-11-10","85","1120",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"66","DQ111758","1","2","STD","INV","genomic DNA","633","linear","2005-07-28","84","2005-11-10","85","1121",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"67","DQ111757","1","2","STD","INV","genomic DNA","636","linear","2005-07-28","84","2005-11-10","85","1122",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"68","KY196999","1","1","STD","INV","genomic DNA","620","linear","2017-04-26","132","2017-04-26","132","447",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"69","MG209580","1","1","STD","INV","genomic DNA","625","linear","2018-03-08","136","2018-03-08","136","368",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"70","MG209594","1","1","STD","INV","genomic DNA","594","linear","2018-03-08","136","2018-03-08","136","354",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"71","MG209586","1","1","STD","INV","genomic DNA","626","linear","2018-03-08","136","2018-03-08","136","362",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"72","KY197001","1","1","STD","INV","genomic DNA","608","linear","2017-04-26","132","2017-04-26","132","445",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"73","KY197002","1","1","STD","INV","genomic DNA","605","linear","2017-04-26","132","2017-04-26","132","444",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"74","KY197000","1","1","STD","INV","genomic DNA","616","linear","2017-04-26","132","2017-04-26","132","446",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"75","MF588667","1","1","STD","INV","genomic DNA","613","linear","2017-10-28","134","2017-10-28","134","403",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"76","MF588668","1","1","STD","INV","genomic DNA","577","linear","2017-10-28","134","2017-10-28","134","402",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"77","MF588669","1","1","STD","INV","genomic DNA","551","linear","2017-10-28","134","2017-10-28","134","401",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"78","KM096412","1","1","STD","INV","genomic DNA","590","linear","2014-10-09","122","2014-10-09","122","911",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"79","KM096413","1","1","STD","INV","genomic DNA","595","linear","2014-10-09","122","2014-10-09","122","910",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"80","KM096411","1","1","STD","INV","genomic DNA","590","linear","2014-10-09","122","2014-10-09","122","912",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"81","KM096414","1","1","STD","INV","genomic DNA","611","linear","2014-10-09","122","2014-10-09","122","909",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"82","KC886723","1","2","STD","INV","genomic DNA","600","linear","2013-05-20","116","2014-07-18","121","941",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"83","KC886726","1","2","STD","INV","genomic DNA","601","linear","2013-05-20","116","2014-07-18","121","938",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"84","KC886722","1","2","STD","INV","genomic DNA","599","linear","2013-05-20","116","2014-07-18","121","942",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"85","KC886724","1","2","STD","INV","genomic DNA","600","linear","2013-05-20","116","2014-07-18","121","940",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"86","KC886725","1","2","STD","INV","genomic DNA","596","linear","2013-05-20","116","2014-07-18","121","939",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"87","KC886727","1","2","STD","INV","genomic DNA","550","linear","2013-05-20","116","2014-07-18","121","937",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"88","KC886728","1","2","STD","INV","genomic DNA","583","linear","2013-05-20","116","2014-07-18","121","936",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"89","KT215376","1","1","STD","INV","genomic DNA","588","linear","2015-12-08","127","2015-12-08","127","646",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"90","KT215374","1","1","STD","INV","genomic DNA","616","linear","2015-12-08","127","2015-12-08","127","648",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"91","KT215372","1","1","STD","INV","genomic DNA","585","linear","2015-12-08","127","2015-12-08","127","650",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"92","KT215375","1","1","STD","INV","genomic DNA","612","linear","2015-12-08","127","2015-12-08","127","647",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"93","KT215377","1","1","STD","INV","genomic DNA","616","linear","2015-12-08","127","2015-12-08","127","645",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"94","KT215373","1","1","STD","INV","genomic DNA","598","linear","2015-12-08","127","2015-12-08","127","649",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"95","KY026192","1","1","STD","INV","genomic DNA","605","linear","2016-12-21","131","2016-12-21","131","502",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"96","KY026191","1","1","STD","INV","genomic DNA","614","linear","2016-12-21","131","2016-12-21","131","503",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"97","JN217101","1","1","STD","INV","genomic DNA","598","linear","2011-12-04","111","2011-12-04","111","1017",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"98","JN217102","1","1","STD","INV","genomic DNA","560","linear","2011-12-04","111","2011-12-04","111","1016",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"99","MG496257","1","3","STD","INV","genomic DNA","541","linear","2017-12-01","135","2017-12-01","135","389",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"100","MG917717","1","3","STD","INV","genomic DNA","571","linear","2018-07-16","137","2019-01-22","139","229",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"101","KY392885","1","1","STD","INV","genomic DNA","532","linear","2017-07-26","133","2017-07-26","133","427",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"102","MG917715","1","3","STD","INV","genomic DNA","597","linear","2018-07-16","137","2019-01-22","139","231",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"103","MG917710","1","3","STD","INV","genomic DNA","598","linear","2018-07-16","137","2019-01-22","139","236",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"104","MG917711","1","3","STD","INV","genomic DNA","536","linear","2018-07-16","137","2019-01-22","139","235",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"105","MG917712","1","3","STD","INV","genomic DNA","592","linear","2018-07-16","137","2019-01-22","139","234",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"106","KY392884","1","1","STD","INV","genomic DNA","582","linear","2017-07-26","133","2017-07-26","133","428",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"107","MF797806","1","1","STD","INV","genomic DNA","644","linear","2018-07-06","137","2018-07-06","137","316",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"108","MG917714","1","3","STD","INV","genomic DNA","592","linear","2018-07-16","137","2019-01-22","139","232",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"109","MG917716","1","3","STD","INV","genomic DNA","577","linear","2018-07-16","137","2019-01-22","139","230",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"110","MG917718","1","3","STD","INV","genomic DNA","595","linear","2018-07-16","137","2019-01-22","139","228",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"111","MG917719","1","3","STD","INV","genomic DNA","593","linear","2018-07-16","137","2019-01-22","139","227",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"112","MG917713","1","3","STD","INV","genomic DNA","594","linear","2018-07-16","137","2019-01-22","139","233",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"113","MG917709","1","3","STD","INV","genomic DNA","596","linear","2018-07-16","137","2019-01-22","139","237",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"114","MH922768","1","1","STD","INV","genomic DNA","666","linear","2018-11-09","138","2018-11-09","138","302",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"115","KC584776","1","1","STD","INV","genomic DNA","625","linear","2013-06-16","117","2013-06-16","117","984",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"116","FJ743476","1","2","STD","INV","genomic DNA","624","linear","2009-03-23","100","2009-09-24","102","1071",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"117","KC584774","1","1","STD","INV","genomic DNA","625","linear","2013-06-16","117","2013-06-16","117","986",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"118","KC584773","1","1","STD","INV","genomic DNA","625","linear","2013-06-16","117","2013-06-16","117","987",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"119","MH922767","1","1","STD","INV","genomic DNA","666","linear","2018-11-09","138","2018-11-09","138","303",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
"120","KC584775","1","1","STD","INV","genomic DNA","625","linear","2013-06-16","117","2013-06-16","117","985",110120,"Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Hepatozoon canis"
